Source,Abbreviation,Content,Rating,Cleaned Content,Stemmed Content,Language,Segmented Content
Report Trade Violation,RTV,The app is not working now in 2022,1,the app is not working now in ,app not work ,en,the app is not working now in
SAUDIA,SAUDIA,The app is not working on pixel Android 10,1,the app is not working on pixel android ,app not work pixel android ,en,the app is not working on pixel android
SPL Online ,SPL,"The app is not working properly, I entered all of my information but at the end they gave a msg that something went wrong !!!",1,the app is not working properly i entered all of my information but at the end they gave a message that something went wrong,app not work properly I enter information end give message something go wrong,en,the app is not working properly i entered all of my information but at the end they gave a message that something went wrong
SAUDIA,SAUDIA,The app is not working totally on Android.,1,the app is not working totally on android,app not work totally android,en,the app is not working totally on android
SPL Online ,SPL,"The app is slow, sometimes it can't even load certain pages. But that's not the case. One of my shipments still hasn't arrived to my door even if it says ready for pick up. Yes, I did pay for a home delivery request and still didn't respond after couple days. These issues must be fixed, or else I won't be using this app for long.",1,the app is slow sometimes it cannot even load certain pages but that is not the case one of my shipments still has not arrived to my door even if it says ready for pick up yes i did pay for a home delivery request and still did not respond after couple days these issues must be fixed or else i will not be using this app for long,app slow sometimes not even load certain page not case one shipment still not arrive door even say ready pick yes I pay home delivery request still not respond couple day issue must fix else I not use app long,en,the app is slow sometimes it cannot even load certain pages but that is not the case one of my shipments still has not arrived to my door even if it says ready for pick up yes i did pay for a home delivery request and still did not respond after couple days these issues must be fixed or else i will not be using this app for long
Saudi Railway,SAR,"The app is very slow, does not work well, and, does not allow me to book a trip! I tried so many times. But, I couldn't. This app is useless. I do not recommend it.",1,the app is very slow does not work well and does not allow me to book a trip i tried so many times but i could not this app is useless i do not recommend it,app slow not work well not allow I book trip I try many time I could not app useless I not recommend,en,the app is very slow does not work well and does not allow me to book a trip i tried so many times but i could not this app is useless i do not recommend it
Tawakkalna Services,Tawakkalna Services,"The app keep crashing when i try to log in ! 
They send the code and after less than 1 minutes it says the code has been expired!!",1,the app keep crashing when i try to log in they send the code and after less than  minutes it says the code has been expired,app keep crash I try log send code less  minute say code expire,en,the app keep crashing when i try to log in they send the code and after less than minutes it says the code has been expired
Enjoy Saudi,Enjoy Saudi,The app keeps crashing and never functions properly,1,the app keeps crashing and never functions properly,app keep crash never function properly,en,the app keeps crashing and never functions properly
Report Trade Violation,RTV,the app keeps crashing it won't let me register,1,the app keeps crashing it will not let me register,app keep crash not let I register,en,the app keeps crashing it will not let me register
SAUDIA,SAUDIA,The app keeps crashing when I enter the destination city.,1,the app keeps crashing when i enter the destination city,app keep crash I enter destination city,en,the app keeps crashing when i enter the destination city
SAUDIA,SAUDIA,The App keeps crashing when I go to my bookings.,1,the app keeps crashing when i go to my bookings,app keep crash I go booking,en,the app keeps crashing when i go to my bookings
SPL Online ,SPL,The App need more and more improvement to make end user easy access and friendly to use.,1,the app need more and more improvement to make end user easy access and friendly to use,app need improvement make end user easy access friendly use,en,the app need more and more improvement to make end user easy access and friendly to use
SPL Online ,SPL,The app never opens. It always has an error.,1,the app never opens it always has an error,app never open always error,en,the app never opens it always has an error
Report Trade Violation,RTV,The app not responding incase editing the reporting,1,the app not responding incase editing the reporting,app not respond incase edit reporting,en,the app not responding incase editing the reporting
Riyadh Plants,Riyadh Plants,The App not working,1,the app not working,app not work,en,the app not working
My Reports (940 Reports),Baladia Report,The app not working and the website also 👎👎,1,the app not working and the website also,app not work website also,en,the app not working and the website also
AL KAHRABA,KAHRABA,"The app says that i dont have the correct app to download, but i have pdf reader. Where is the developer?!",1,the app says that i do not have the correct app to download but i have pdf reader where is the developer,app say I not correct app download I pdf reader developer,en,the app says that i do not have the correct app to download but i have pdf reader where is the developer
SPL Online ,SPL,"The app seems lack a lot of features. Furthermore, every time that I want to carry a service, I face an “ out of service” message and I am forced to use the website instead, even the Customer Services staff recommended me to use the site instead of the app",1,the app seems lack a lot of features furthermore every time that i want to carry a service i face an “ out of service” message and i am forced to use the website instead even the customer services staff recommended me to use the site instead of the app,app seem lack lot feature furthermore every time I want carry service I face  service  message I force use website instead even customer service staff recommend I use site instead app,en,the app seems lack a lot of features furthermore every time that i want to carry a service i face an “ out of service ” message and i am forced to use the website instead even the customer services staff recommended me to use the site instead of the app
SAUDIA,SAUDIA,"The app should make the whole experience easier. In fact this is not what I am finding. Every time I use the app I struggle to process a transaction. Although many feedback and surveys have been filled and submitted, still the progress is very slow. PLEASE INVEST properly and make sure the app is functioning well and keep customers away from visiting the desktop site to complete the process....",1,the app should make the whole experience easier in fact this is not what i am finding every time i use the app i struggle to process a transaction although many feedback and surveys have been filled and submitted still the progress is very slow please invest properly and make sure the app is functioning well and keep customers away from visiting the desktop site to complete the process,app make whole experience easy fact not I find every time I use app I struggle process transaction although many feedback survey fill submit still progress slow please invest properly make sure app function well keep customer away visit desktop site complete process,en,the app should make the whole experience easier in fact this is not what i am finding every time i use the app i struggle to process a transaction although many feedback and surveys have been filled and submitted still the progress is very slow please invest properly and make sure the app is functioning well and keep customers away from visiting the desktop site to complete the process
SAUDIA,SAUDIA,"The app shows three different Miles count! One in the dashboard on the top, one in the middle of Alfursan and one in the activities and they are all different!
On top of that, it says “you don’t have enough miles” and I do have!
Wish they didn’t update the app, the old one is better.",1,the app shows three different miles count one in the dashboard on the top one in the middle of alfursan and one in the activities and they are all different on top of that it says “you do not have enough miles” and i do have wish they did not update the app the old one is better,app show three different mile count one dashboard top one middle alfursan one activity different top say  not enough mile  I wish not update app old one well,en,the app shows three different miles count one in the dashboard on the top one in the middle of alfursan and one in the activities and they are all different on top of that it says “ you do not have enough miles ” and i do have wish they did not update the app the old one is better
SAUDIA,SAUDIA,The app stop working after Android 10 update 😔,1,the app stop working after android  update,app stop work android  update,en,the app stop working after android update
Tawakkalna Services,Tawakkalna Services,"The app stopped working with the new update,",1,the app stopped working with the new update,app stop work new update,en,the app stopped working with the new update
AL KAHRABA,KAHRABA,"The app sucks and is unaccessible after the update. Cannot log in using my details, and even prompted to change password, temporary password sent by AL KAHRABA is not working, and problem still exist. Fix the issue and maybe we (consumers) can give you a good rating.",1,the app sucks and is unaccessible after the update cannot log in using my details and even prompted to change password temporary password sent by al kahraba is not working and problem still exist fix the issue and maybe we consumers can give you a good rating,app suck unaccessible update not log use detail even prompt change password temporary password send al kahraba not work problem still exist fix issue maybe consumer give good rating,en,the app sucks and is unaccessible after the update cannot log in using my details and even prompted to change password temporary password sent by al kahraba is not working and problem still exist fix the issue and maybe we consumers can give you a good rating
 NAFATH, NAFATH,The app works fine but there’s some major issue with the whole Nafath system. Customer service is extremely poor. I’ve emailed and called them multiple times but they don’t seem to have a solution to my problem.,1,the app works fine but there is some major issue with the whole nafath system customer service is extremely poor i have emailed and called them multiple times but they do not seem to have a solution to my problem,app work fine major issue whole nafath system customer service extremely poor I email call multiple time not seem solution problem,en,the app works fine but there is some major issue with the whole nafath system customer service is extremely poor i have emailed and called them multiple times but they do not seem to have a solution to my problem
SAUDIA,SAUDIA,The application becomes the worst app .Fursan doesn't open and the App design becomes very bad .,1,the application becomes the worst app fursan does not open and the app design becomes very bad,application become bad app fursan not open app design become bad,en,the application becomes the worst app fursan does not open and the app design becomes very bad
Report Trade Violation,RTV,The application didn’t work,1,the application did not work,application not work,en,the application did not work
Discounts,Discounts,"The application didn't work since we should select 3 products as minimum so when process you will get message that process is failed (the process not successful), I tried several times with different selection products.",1,the application did not work since we should select  products as minimum so when process you will get message that process is failed the process not successful i tried several times with different selection products,application not work since select  product minimum process get message process fail process not successful I try several time different selection product,en,the application did not work since we should select products as minimum so when process you will get message that process is failed the process not successful i tried several times with different selection products
Health Volunteering,H_Volunteer,The application does not let me log in,1,the application does not let me log in,application not let I log,en,the application does not let me log in
Report Trade Violation,RTV,"The application does not work, an error occurred and does not register",1,the application does not work an error occurred and does not register,application not work error occur not register,en,the application does not work an error occurred and does not register
Tawakkalna Services,Tawakkalna Services,"The application does not work, crashe all the time",1,the application does not work crashe all the time,application not work crashe time,en,the application does not work crashe all the time
SAUDIA,SAUDIA,"The application doesn’t get up to date information, it shows flights “on time “ after the flight landed by 45 minutes. Have to uninstall it back again",1,the application does not get up to date information it shows flights “on time “ after the flight landed by  minutes have to uninstall it back again,application not get date information show flight  time  flight land  minute uninstall back,en,the application does not get up to date information it shows flights “ on time “ after the flight landed by minutes have to uninstall it back again
Report Trade Violation,RTV,"The application doesn't have all store names, and when you send a complaint they send it back for modification and you cannot modify",1,the application does not have all store names and when you send a complaint they send it back for modification and you cannot modify,application not store name send complaint send back modification not modify,en,the application does not have all store names and when you send a complaint they send it back for modification and you cannot modify
SAUDIA,SAUDIA,The application doesn’t work !!,1,the application does not work,application not work,en,the application does not work
SAUDIA,SAUDIA,"The Application doesn't work after April updates, please fix it.",1,the application does not work after april updates please fix it,application not work april update please fix,en,the application does not work after april updates please fix it
Benifitiary Support,Benifitiary Support,"The application doesn't work, need to be fixed",1,the application does not work need to be fixed,application not work need fix,en,the application does not work need to be fixed
SPL Online ,SPL,"The application has a problem that stopped working suddenly, you must re-enter the login, this is another problem that needs to be fixed",1,the application has a problem that stopped working suddenly you must reenter the login this is another problem that needs to be fixed,application problem stop work suddenly must reenter login another problem need fix,en,the application has a problem that stopped working suddenly you must reenter the login this is another problem that needs to be fixed
 NAFATH, NAFATH,the application has to be given all permissions otherwise it will deny access.,1,the application has to be given all permissions otherwise it will deny access,application give permission otherwise deny access,en,the application has to be given all permissions otherwise it will deny access
SAUDIA,SAUDIA,The Application is hanging and freezing most of the time being used.,1,the application is hanging and freezing most of the time being used,application hang freeze time use,en,the application is hanging and freezing most of the time being used
SAUDIA,SAUDIA,the application is not starting. please fix it,1,the application is not starting please fix it,application not start please fix,en,the application is not starting please fix it
AL KAHRABA,KAHRABA,The application is not working,1,the application is not working,application not work,en,the application is not working
SAUDIA,SAUDIA,"The application is not working after last update,once I open it's come a white screen and no action can be taken",1,the application is not working after last updateonce i open it is come a white screen and no action can be taken,application not work last updateonce I open come white screen no action take,en,the application is not working after last updateonce i open it is come a white screen and no action can be taken
SAUDIA,SAUDIA,The application is not working either in ios or Android,1,the application is not working either in ios or android,application not work either io android,en,the application is not working either in ios or android
SAUDIA,SAUDIA,The application is very bad once you press the back button you loose everything and start all over again.,1,the application is very bad once you press the back button you loose everything and start all over again,application bad press back button loose everything start,en,the application is very bad once you press the back button you loose everything and start all over again
Report Trade Violation,RTV,The application isn’t working,1,the application is not working,application not work,en,the application is not working
GOV.SA,GOV.SA,The Application isn't working properly it said need to connect to absher but it isn't working,1,the application is not working properly it said need to connect to absher but it is not working,application not work properly say need connect absher not work,en,the application is not working properly it said need to connect to absher but it is not working
Report Trade Violation,RTV,The application not work properly,1,the application not work properly,application not work properly,en,the application not work properly
SAUDIA,SAUDIA,"The application was great before the latest updates, kindly fix the problem or return to the last version. This is tuff, even 1 star is to much.",1,the application was great before the latest updates kindly fix the problem or return to the last version this is tuff even  star is to much,application great late update kindly fix problem return last version tuff even  star much,en,the application was great before the latest updates kindly fix the problem or return to the last version this is tuff even star is to much
SAUDIA,SAUDIA,"The application when I open it was suddenly closed even not showing my profile and fursan miles, its really occurred. Kindly fixed this issue immediately,",1,the application when i open it was suddenly closed even not showing my profile and fursan miles its really occurred kindly fixed this issue immediately,application I open suddenly close even not show profile fursan mile really occur kindly fix issue immediately,en,the application when i open it was suddenly closed even not showing my profile and fursan miles its really occurred kindly fixed this issue immediately
Report Trade Violation,RTV,"The applocatin not working anymore, Fix it please",1,the applocatin not working anymore fix it please,applocatin not work anymore fix please,en,the applocatin not working anymore fix it please
Saudi Railway,SAR,The availability of seats on the app and website is different,1,the availability of seats on the app and website is different,availability seat app website different,en,the availability of seats on the app and website is different
AL KAHRABA,KAHRABA,The best example of how an update can ruin an application.,1,the best example of how an update can ruin an application,good example update ruin application,en,the best example of how an update can ruin an application
SAUDIA,SAUDIA,The current version is full of bugs!,1,the current version is full of bugs,current version full bug,en,the current version is full of bugs
Tawakkalna Services,Tawakkalna Services,The e-wallet disappeared,1,the ewallet disappeared,ewallet disappear,en,the ewallet disappeared
SAUDIA,SAUDIA,"The email prompt doesn't work. Whe I first login, the app ask for more information such as email. But the text input does not activate the keyboard!! How am I supposed to write my email?",1,the email prompt does not work whe i first login the app ask for more information such as email but the text input does not activate the keyboard how am i supposed to write my email,email prompt not work whe I first login app ask information email text input not activate keyboard I suppose write email,en,the email prompt does not work whe i first login the app ask for more information such as email but the text input does not activate the keyboard how am i supposed to write my email
General Organization for Social Insurance,GOSI,"The Gosi certificate is only in arabic, we can not read so please also provide Gosi certificate in english",1,the gosi certificate is only in arabic we can not read so please also provide gosi certificate in english,gosi certificate arabic not read please also provide gosi certificate english,en,the gosi certificate is only in arabic we can not read so please also provide gosi certificate in english
SAUDIA,SAUDIA,The hopeless non-professional airline,1,the hopeless nonprofessional airline,hopeless nonprofessional airline,en,the hopeless nonprofessional airline
Kollona Amn,Kollona Amn,The issue is the app cant connect to the server,1,the issue is the app cannot connect to the server,issue app not connect server,en,the issue is the app cannot connect to the server
General Organization for Social Insurance,GOSI,"The language is not in English, and those who do not speak Arabic will do?",1,the language is not in english and those who do not speak arabic will do,language not english not speak arabic,en,the language is not in english and those who do not speak arabic will do
SAUDIA,SAUDIA,The last update is not working at all ;it is just a white screen forever .,1,the last update is not working at all it is just a white screen forever,last update not work white screen forever,en,the last update is not working at all it is just a white screen forever
AL KAHRABA,KAHRABA,"The last upgrade is very bad, I tried to add my invoice to my account, but it keeps asking me to pay all the amount to allow me add the invoice",1,the last upgrade is very bad i tried to add my invoice to my account but it keeps asking me to pay all the amount to allow me add the invoice,last upgrade bad I try add invoice account keep ask I pay amount allow I add invoice,en,the last upgrade is very bad i tried to add my invoice to my account but it keeps asking me to pay all the amount to allow me add the invoice
AL KAHRABA,KAHRABA,"The last upgrade killed this app in terms of usability and functionality. If it works, why mess up with it? The previous version was great and easy to use. I don't know why do they keep doing this, over-complicating simple things. The major feature I miss is the ability to copy account number. Why would you remove that? Also statistics in the new version are almost invisible and hard to preview. Till they do something about these issues, it doesn't even deserve one star.",1,the last upgrade killed this app in terms of usability and functionality if it works why mess up with it the previous version was great and easy to use i do not know why do they keep doing this overcomplicating simple things the major feature i miss is the ability to copy account number why would you remove that also statistics in the new version are almost invisible and hard to preview till they do something about these issues it does not even deserve one star,last upgrade kill app term usability functionality work mess previous version great easy use I not know keep overcomplicate simple thing major feature I miss ability copy account number would remove also statistic new version almost invisible hard preview till something issue not even deserve one star,en,the last upgrade killed this app in terms of usability and functionality if it works why mess up with it the previous version was great and easy to use i do not know why do they keep doing this overcomplicating simple things the major feature i miss is the ability to copy account number why would you remove that also statistics in the new version are almost invisible and hard to preview till they do something about these issues it does not even deserve one star
SAUDIA,SAUDIA,the latest update made it stop working completely.,1,the latest update made it stop working completely,late update make stop work completely,en,the latest update made it stop working completely
SAUDIA,SAUDIA,The latest update not good at all,1,the latest update not good at all,late update not good,en,the latest update not good at all
Discounts,Discounts,The location is not working No clear discription or pictures for the products,1,the location is not working no clear discription or pictures for the products,location not work no clear discription picture product,en,the location is not working no clear discription or pictures for the products
SPL Online ,SPL,The login is always difficult and a message tells you the password is incorrect,1,the login is always difficult and a message tells you the password is incorrect,login always difficult message tell password incorrect,en,the login is always difficult and a message tells you the password is incorrect
SAUDIA,SAUDIA,The most recent update is not working properly it always prompt error message when I choose Saudi Arabia (country code is incorrect) I tried to do it manually and I failed. Please fix this problem,1,the most recent update is not working properly it always prompt error message when i choose saudi arabia country code is incorrect i tried to do it manually and i failed please fix this problem,recent update not work properly always prompt error message I choose saudi arabia country code incorrect I try manually I fail please fix problem,en,the most recent update is not working properly it always prompt error message when i choose saudi arabia country code is incorrect i tried to do it manually and i failed please fix this problem
SAUDIA,SAUDIA,"the most un-updated  & worst apps
i cannot book from the apps
just loading for hours",1,the most unupdated worst apps i cannot book from the apps just loading for hours,unupdated bad app I not book app load hour,en,the most unupdated worst apps i cannot book from the apps just loading for hours
Discounts,Discounts,The names of the stores are not even showing!,1,the names of the stores are not even showing,name store not even show,en,the names of the stores are not even showing
Tawakkalna Services,Tawakkalna Services,The nationality drop-down doesn't even work. Without this i wont even be able to sign up,1,the nationality dropdown does not even work without this i will not even be able to sign up,nationality dropdown not even work without I not even able sign,en,the nationality dropdown does not even work without this i will not even be able to sign up
AL KAHRABA,KAHRABA,"The new app is completely bad, nothing helps, only make trouble for customers!!!! Why not correct your mistakes and change back to the old app???",1,the new app is completely bad nothing helps only make trouble for customers why not correct your mistakes and change back to the old app,new app completely bad nothing help make trouble customer not correct mistake change back old app,en,the new app is completely bad nothing helps only make trouble for customers why not correct your mistakes and change back to the old app
Saudi Railway,SAR,The new app is now working probably,1,the new app is now working probably,new app work probably,en,the new app is now working probably
SAUDIA,SAUDIA,"The new application (starting with early 2022) crashes when you try to check your Alfursan account, they don't update yours miles pounts automatically as before COVID.",1,the new application starting with early  crashes when you try to check your alfursan account they do not update yours miles pounts automatically as before covid,new application start early  crash try check alfursan account not update mile pount automatically covid,en,the new application starting with early crashes when you try to check your alfursan account they do not update yours miles pounts automatically as before covid
AL KAHRABA,KAHRABA,"The new update can not accept the payment , need to fix it urgent plz",1,the new update can not accept the payment need to fix it urgent plz,new update not accept payment need fix urgent plz,en,the new update can not accept the payment need to fix it urgent plz
Tawakkalna Services,Tawakkalna Services,"The new update can't let me open the application, when I tired to open it, it takes me out of the application..",1,the new update cannot let me open the application when i tired to open it it takes me out of the application,new update not let I open application I tire open take I application,en,the new update cannot let me open the application when i tired to open it it takes me out of the application
Absher,Absher,The new update doesn’t send the sms message to the registered number.,1,the new update does not send the sms message to the registered number,new update not send sms message registered number,en,the new update does not send the sms message to the registered number
SPL Online ,SPL,The new update doesn't work on Android 12,1,the new update does not work on android ,new update not work android ,en,the new update does not work on android
 NAFATH, NAFATH,The New Update facing Crashes,1,the new update facing crashes,new update face crash,en,the new update facing crashes
Saudi Railway,SAR,The new update is horrible 👎👎👎,1,the new update is horrible,new update horrible,en,the new update is horrible
Saudi Railway,SAR,The new update is terrible it’s crashes every time I try to buy a ticket!!?,1,the new update is terrible it is crashes every time i try to buy a ticket,new update terrible crash every time I try buy ticket,en,the new update is terrible it is crashes every time i try to buy a ticket
SAUDIA,SAUDIA,The new update is very bad. Please get back to the old version.,1,the new update is very bad please get back to the old version,new update bad please get back old version,en,the new update is very bad please get back to the old version
Saudi Railway,SAR,The new update is very poor,1,the new update is very poor,new update poor,en,the new update is very poor
SAUDIA,SAUDIA,"The new updated web site is unfriendly, full of ads, and a piece of trash. Unable to log into alFursan website that crashes all the time.",1,the new updated web site is unfriendly full of ads and a piece of trash unable to log into alfursan website that crashes all the time,new update web site unfriendly full ad piece trash unable log alfursan website crash time,en,the new updated web site is unfriendly full of ads and a piece of trash unable to log into alfursan website that crashes all the time
AL KAHRABA,KAHRABA,"The new version is very bad, I can't add my account",1,the new version is very bad i cannot add my account,new version bad I not add account,en,the new version is very bad i cannot add my account
AL KAHRABA,KAHRABA,"The old app is a 1000% better than this joke of an app, just shows pdf of the bill, the old app showed bill for each month!",1,the old app is a  better than this joke of an app just shows pdf of the bill the old app showed bill for each month,old app  well joke app show pdf bill old app show bill month,en,the old app is a better than this joke of an app just shows pdf of the bill the old app showed bill for each month
SPL Online ,SPL,"The old app was better than this, this app not flexible at all",1,the old app was better than this this app not flexible at all,old app well app not flexible,en,the old app was better than this this app not flexible at all
AL KAHRABA,KAHRABA,"The old apps said i paid the due, which is yes i did, but this new version i have a balance that need to pay...which is which.",1,the old apps said i paid the due which is yes i did but this new version i have a balance that need to paywhich is which,old app say I pay due yes I new version I balance need paywhich,en,the old apps said i paid the due which is yes i did but this new version i have a balance that need to paywhich is which
AL KAHRABA,KAHRABA,The old one is better bring it back. The new one is so bad.,1,the old one is better bring it back the new one is so bad,old one well bring back new one bad,en,the old one is better bring it back the new one is so bad
AL KAHRABA,KAHRABA,The old one is better than this,1,the old one is better than this,old one well,en,the old one is better than this
AL KAHRABA,KAHRABA,"The old one is much better,, more details,, easy to use .",1,the old one is much better more details easy to use,old one much well detail easy use,en,the old one is much better more details easy to use
AL KAHRABA,KAHRABA,The old one was better,1,the old one was better,old one well,en,the old one was better
AL KAHRABA,KAHRABA,The old one was better and easy to use. This is more complicated and requried to pay the bill before adding to my account.,1,the old one was better and easy to use this is more complicated and requried to pay the bill before adding to my account,old one well easy use complicated requrie pay bill add account,en,the old one was better and easy to use this is more complicated and requried to pay the bill before adding to my account
AL KAHRABA,KAHRABA,The old one was way better and easier,1,the old one was way better and easier,old one way well easy,en,the old one was way better and easier
AL KAHRABA,KAHRABA,"The old one was working properly, we are trying many times to login but OTP is not receiving on my register phone, everything is proper no any issue but we can't login with otp Plz any one to suggest.",1,the old one was working properly we are trying many times to login but otp is not receiving on my register phone everything is proper no any issue but we cannot login with otp plz any one to suggest,old one work properly try many time login otp not receive register phone everything proper no issue not login otp plz one suggest,en,the old one was working properly we are trying many times to login but otp is not receiving on my register phone everything is proper no any issue but we cannot login with otp plz any one to suggest
AL KAHRABA,KAHRABA,The old program was better than this one,1,the old program was better than this one,old program well one,en,the old program was better than this one
AL KAHRABA,KAHRABA,"The old version is better, you can see all previous and the balance. This new version is such a embarrassing.",1,the old version is better you can see all previous and the balance this new version is such a embarrassing,old version well see previous balance new version embarrassing,en,the old version is better you can see all previous and the balance this new version is such a embarrassing
AL KAHRABA,KAHRABA,The old version is very much better coz we can check the history bill and easy to use,1,the old version is very much better coz we can check the history bill and easy to use,old version much well coz check history bill easy use,en,the old version is very much better coz we can check the history bill and easy to use
AL KAHRABA,KAHRABA,"The old version was better. 
Many issues are raised when Trying to login and register user account.",1,the old version was better many issues are raised when trying to login and register user account,old version well many issue raise try login register user account,en,the old version was better many issues are raised when trying to login and register user account
SAUDIA,SAUDIA,"The old version was perfect, the new version is truly bad, when you try to book a flight you get a blank page no matter how you refresh it. It was like that since I upgraded the App months ago, it seems they don't really care.",1,the old version was perfect the new version is truly bad when you try to book a flight you get a blank page no matter how you refresh it it was like that since i upgraded the app months ago it seems they do not really care,old version perfect new version truly bad try book flight get blank page no matter refresh like since I upgrade app month ago seem not really care,en,the old version was perfect the new version is truly bad when you try to book a flight you get a blank page no matter how you refresh it it was like that since i upgraded the app months ago it seems they do not really care
AL KAHRABA,KAHRABA,The old version work great. This is not bad but worst. I dont recommend this apps. It doesnt work. And the history of billing also lost,1,the old version work great this is not bad but worst i do not recommend this apps it does not work and the history of billing also lost,old version work great not bad bad I not recommend app not work history billing also lose,en,the old version work great this is not bad but worst i do not recommend this apps it does not work and the history of billing also lost
AL KAHRABA,KAHRABA,The old version works better and easy user interface . The old app stopped working and request to update the app. The update is not able to download it.,1,the old version works better and easy user interface the old app stopped working and request to update the app the update is not able to download it,old version work well easy user interface old app stop work request update app update not able download,en,the old version works better and easy user interface the old app stopped working and request to update the app the update is not able to download it
AL KAHRABA,KAHRABA,"The older version is way better and simple, I can’t view my bill or download it as pdf",1,the older version is way better and simple i cannot view my bill or download it as pdf,old version way well simple I not view bill download pdf,en,the older version is way better and simple i cannot view my bill or download it as pdf
AL KAHRABA,KAHRABA,The older version is way better light n fast with basic functionality the newer one should bring more features in simple minimalistic way but unfortunately its not,1,the older version is way better light n fast with basic functionality the newer one should bring more features in simple minimalistic way but unfortunately its not,old version way well light n fast basic functionality new one bring feature simple minimalistic way unfortunately not,en,the older version is way better light n fast with basic functionality the newer one should bring more features in simple minimalistic way but unfortunately its not
AL KAHRABA,KAHRABA,The older version was better,1,the older version was better,old version well,en,the older version was better
AL KAHRABA,KAHRABA,The previous app had more options like historical data but it's removed in update!! Shouldn't the update provide more facilities not take away previous ones. Second everytime i have to enter meter number like developer forgot to declare some variables 🤔. No graphs at all in this update.,1,the previous app had more options like historical data but it is removed in update should not the update provide more facilities not take away previous ones second everytime i have to enter meter number like developer forgot to declare some variables no graphs at all in this update,previous app option like historical datum remove update not update provide facility not take away previous one second everytime I enter meter number like developer forget declare variable no graph update,en,the previous app had more options like historical data but it is removed in update should not the update provide more facilities not take away previous ones second everytime i have to enter meter number like developer forgot to declare some variables no graphs at all in this update
Saudi Railway,SAR,The previous App was more easy and simple I Don't know why you change the old App. Please check the process and make it more convenient 🙏,1,the previous app was more easy and simple i do not know why you change the old app please check the process and make it more convenient,previous app easy simple I not know change old app please check process make convenient,en,the previous app was more easy and simple i do not know why you change the old app please check the process and make it more convenient
SPL Online ,SPL,the redesign completely destroyed the app. the older app used to be perfect.,1,the redesign completely destroyed the app the older app used to be perfect,redesign completely destroy app old app use perfect,en,the redesign completely destroyed the app the older app used to be perfect
SPL Online ,SPL,"The slowest app ever, and then it's not working",1,the slowest app ever and then it is not working,slow app ever not work,en,the slowest app ever and then it is not working
"Communication, Space and Technology Commission",CST,The system does not come to cancel the SIM like before.plz update system 🙏,1,the system does not come to cancel the sim like beforeplz update system,system not come cancel sim like beforeplz update system,en,the system does not come to cancel the sim like beforeplz update system
SAUDIA,SAUDIA,The technical support is nonexistent. Extremely embarrassing.,1,the technical support is nonexistent extremely embarrassing,technical support nonexistent extremely embarrassing,en,the technical support is nonexistent extremely embarrassing
SPL Online ,SPL,"The tracking numbers are not stored once you have closed this app, again when you need to track the status of the shipment you need to copy and paste it again the tracking number for you to use the tracking function of this app, the first version of this is still better because it can store multiple tracking numbers and history of delivered parcels.",1,the tracking numbers are not stored once you have closed this app again when you need to track the status of the shipment you need to copy and paste it again the tracking number for you to use the tracking function of this app the first version of this is still better because it can store multiple tracking numbers and history of delivered parcels,tracking number not store close app need track status shipment need copy paste tracking number use tracking function app first version still well store multiple tracking number history deliver parcel,en,the tracking numbers are not stored once you have closed this app again when you need to track the status of the shipment you need to copy and paste it again the tracking number for you to use the tracking function of this app the first version of this is still better because it can store multiple tracking numbers and history of delivered parcels
AL KAHRABA,KAHRABA,"The update is horrible. All positive points in the old version are reversed. And more to it, the App keeps crashing. Why ruin a great App with such horrible changes that you call update!",1,the update is horrible all positive points in the old version are reversed and more to it the app keeps crashing why ruin a great app with such horrible changes that you call update,update horrible positive point old version reverse app keep crash ruin great app horrible change call update,en,the update is horrible all positive points in the old version are reversed and more to it the app keeps crashing why ruin a great app with such horrible changes that you call update
Absher,Absher,The update is not working,1,the update is not working,update not work,en,the update is not working
SAUDIA,SAUDIA,The update not working,1,the update not working,update not work,en,the update not working
SAUDIA,SAUDIA,The update to ver 3.6.1 is useless and never get full access to Fursan login.,1,the update to ver  is useless and never get full access to fursan login,update ver  useless never get full access fursan login,en,the update to ver is useless and never get full access to fursan login
SAUDIA,SAUDIA,"The updated application works so bad and has many lags, it was good before, it is slow to search and to apply  ",1,the updated application works so bad and has many lags it was good before it is slow to search and to apply,update application work bad many lag good slow search apply,en,the updated application works so bad and has many lags it was good before it is slow to search and to apply
SAUDIA,SAUDIA,The updated version doesn’t allow to issue the bording for the return journey !!,1,the updated version does not allow to issue the bording for the return journey,update version not allow issue bording return journey,en,the updated version does not allow to issue the bording for the return journey
